source_mat_id_orig,source_mat_id,seq_batch,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON-210701-330-SoSOP3-Meio-R1,EMOBON_BPNS_So_1,batch_3,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,,,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
EMOBON-210701-330-SoSOP3-Meio-R2,EMOBON_BPNS_So_2,batch_3,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,,,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
EMOBON-210701-330-SoSOP3-Meio-R3,EMOBON_BPNS_So_3,,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,,,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
EMOBON-210701-330-SoSOP3-Meio-R4,EMOBON_BPNS_So_4,,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,,,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
EMOBON-210726-330-SoSOP3-Micro-R1,EMOBON_BPNS_So_5,batch_1,,no CTD taken,,no pH measured,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,no CTD taken,,,,,,,,
EMOBON-210726-330-SoSOP3-Micro-R2,EMOBON_BPNS_So_6,batch_1,,no CTD taken,,no pH measured,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,no CTD taken,,,,,,,,
EMOBON-210726-330-SoSOP3-Micro-R3,EMOBON_BPNS_So_7,,,no CTD taken,,no pH measured,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,no CTD taken,,,,,,,,
EMOBON-210726-330-SoSOP3-Micro-R4,EMOBON_BPNS_So_8,,,no CTD taken,,no pH measured,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,no CTD taken,,,,,,,,
EMOBON-210726-330-SoSOP3-Micro-B1,EMOBON_BPNS_So_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON-210726-330-SoSOP3-Micro-B2,EMOBON_BPNS_So_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON-210825-330-SoSOP3-Micro-R1,EMOBON_BPNS_So_11,,18.919,CTD,,no pH measured,18.814,CTD,,,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
EMOBON-210825-330-SoSOP3-Micro-R2,EMOBON_BPNS_So_12,batch_1,18.919,CTD,,no pH measured,18.814,CTD,,,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
EMOBON-210825-330-SoSOP3-Micro-R3,EMOBON_BPNS_So_13,batch_1,18.919,CTD,,no pH measured,18.814,CTD,,,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
